text,drug,effect,indexes,label
"A twelve year-old-girl with idiopathic partial epilepsy with secondary generalization, developed acute psychosis 10 days after the administration of levetiracetam.",levetiracetam,acute psychosis,"{'drug': {'start_char': array([149], dtype=int32), 'end_char': array([162], dtype=int32)}, 'effect': {'start_char': array([97], dtype=int32), 'end_char': array([112], dtype=int32)}}",1
"However, a recent post-marketing survey in Japan revealed that interstitial pneumonia occurred in 4 among approximately 2 000 Japanese patients treated with sorafenib.",sorafenib,interstitial pneumonia,"{'drug': {'start_char': array([157], dtype=int32), 'end_char': array([166], dtype=int32)}, 'effect': {'start_char': array([63], dtype=int32), 'end_char': array([85], dtype=int32)}}",1
"PATIENT AND METHOD: A 34-year-old woman with chronic hepatitis C, genotype 3, receiving pegylated interferon alpha-2a and ribavirin for 6 months, developed progressive malaise and anemia 6 months after the end of treatment.",ribavirin,hepatitis,0,0
We report the first case of a patient in a promethazine-induced coma responding to treatment with flumazenil.,promethazine,coma,"{'drug': {'start_char': array([43], dtype=int32), 'end_char': array([55], dtype=int32)}, 'effect': {'start_char': array([64], dtype=int32), 'end_char': array([68], dtype=int32)}}",1
"After receiving 3 doses of ifosfamide/mesna, she was found to be unresponsive.",mesna,ifosfamide,0,0
Itch and skin rash from chocolate during fluoxetine and sertraline treatment: case report.,fluoxetine,skin rash,"{'drug': {'start_char': array([41], dtype=int32), 'end_char': array([51], dtype=int32)}, 'effect': {'start_char': array([9], dtype=int32), 'end_char': array([18], dtype=int32)}}",1
Hypertension develops in most patients after transplantation when immunosuppression is based on cyclosporine and prednisone.,prednisone,cyclosporine,0,0
"Coadministration of antidepressant agents such as nefazodone, or any other drug that inhibits the CYP3A4 isoenzyme subfamily, should be anticipated to interfere with tacrolimus metabolism.",nefazodone,interfere with tacrolimus metabolism,"{'drug': {'start_char': array([50], dtype=int32), 'end_char': array([60], dtype=int32)}, 'effect': {'start_char': array([151], dtype=int32), 'end_char': array([187], dtype=int32)}}",1
"We report a 50-year-old male patient with a 15-year history of psoriasis including mutilating psoriatic arthritis, in whom the withdrawal of cyclosporin A induced a generalised pustular exacerbation and a aggravation of the joint condition.",cyclosporin A,generalised pustular exacerbation,"{'drug': {'start_char': array([141], dtype=int32), 'end_char': array([154], dtype=int32)}, 'effect': {'start_char': array([165], dtype=int32), 'end_char': array([198], dtype=int32)}}",1
A 52 year-old male patient diagnosed of ankylosing spondylitis presented with an iron deficiency anemia after a ten-month treatment of methotrexate.,methotrexate,iron deficiency anemia,"{'drug': {'start_char': array([135], dtype=int32), 'end_char': array([147], dtype=int32)}, 'effect': {'start_char': array([81], dtype=int32), 'end_char': array([103], dtype=int32)}}",1
